,Gen,Name,Wins,Loses,Draws
0,0,none,0,0,0
0,1,dArwIn_G1_0a,1,2,0
1,1,dArwIn_G1_0b,0,3,0
2,1,dArwIn_G1_1a,2,1,0
3,1,dArwIn_G1_1b,2,1,0
4,1,dArwIn_G1_2a,1,2,0
5,1,dArwIn_G1_2b,0,3,0
6,1,dArwIn_G1_3a,1,2,0
7,1,dArwIn_G1_3b,2,1,0
0,2,dArwIn_G2_0a,2,1,0
1,2,dArwIn_G2_0b,1,2,0
2,2,dArwIn_G2_1a,1,2,0
3,2,dArwIn_G2_1b,1,2,0
4,2,dArwIn_G2_2a,2,1,0
5,2,dArwIn_G2_2b,2,1,0
6,2,dArwIn_G2_3a,1,2,0
7,2,dArwIn_G2_3b,2,1,0
0,3,dArwIn_G3_0a,1,2,0
1,3,dArwIn_G3_0b,1,2,0
2,3,dArwIn_G3_1a,1,2,0
3,3,dArwIn_G3_1b,1,2,0
4,3,dArwIn_G3_2a,1,2,0
5,3,dArwIn_G3_2b,2,1,0
6,3,dArwIn_G3_3a,2,1,0
7,3,dArwIn_G3_3b,2,1,0
0,4,dArwIn_G4_0a,1,2,0
1,4,dArwIn_G4_0b,2,1,0
2,4,dArwIn_G4_1a,3,0,0
3,4,dArwIn_G4_1b,1,2,0
4,4,dArwIn_G4_2a,2,1,0
5,4,dArwIn_G4_2b,1,2,0
6,4,dArwIn_G4_3a,1,2,0
7,4,dArwIn_G4_3b,1,2,0
0,5,dArwIn_G5_0a,2,1,0
1,5,dArwIn_G5_0b,2,1,0
2,5,dArwIn_G5_1a,2,1,0
3,5,dArwIn_G5_1b,2,1,0
4,5,dArwIn_G5_2a,1,2,0
5,5,dArwIn_G5_2b,1,2,0
6,5,dArwIn_G5_3a,2,1,0
7,5,dArwIn_G5_3b,2,1,0
0,6,dArwIn_G6_0a,1,2,0
1,6,dArwIn_G6_0b,2,1,0
2,6,dArwIn_G6_1a,0,3,0
3,6,dArwIn_G6_1b,2,1,0
4,6,dArwIn_G6_2a,2,1,0
5,6,dArwIn_G6_2b,1,2,0
6,6,dArwIn_G6_3a,2,1,0
7,6,dArwIn_G6_3b,2,1,0
0,7,dArwIn_G7_0a,1,2,0
1,7,dArwIn_G7_0b,2,1,0
2,7,dArwIn_G7_1a,2,1,0
3,7,dArwIn_G7_1b,2,1,0
4,7,dArwIn_G7_2a,1,2,0
5,7,dArwIn_G7_2b,0,3,0
6,7,dArwIn_G7_3a,1,2,0
7,7,dArwIn_G7_3b,2,1,0
0,8,dArwIn_G8_0a,1,2,0
1,8,dArwIn_G8_0b,2,1,0
2,8,dArwIn_G8_1a,1,2,0
3,8,dArwIn_G8_1b,2,1,0
4,8,dArwIn_G8_2a,2,1,0
5,8,dArwIn_G8_2b,2,1,0
6,8,dArwIn_G8_3a,1,2,0
7,8,dArwIn_G8_3b,1,2,0
0,9,dArwIn_G9_0a,1,2,0
1,9,dArwIn_G9_0b,2,1,0
2,9,dArwIn_G9_1a,2,1,0
3,9,dArwIn_G9_1b,1,2,0
4,9,dArwIn_G9_2a,1,2,0
5,9,dArwIn_G9_2b,3,0,0
6,9,dArwIn_G9_3a,1,2,0
7,9,dArwIn_G9_3b,2,1,0
0,10,dArwIn_G10_0a,2,1,0
1,10,dArwIn_G10_0b,2,1,0
2,10,dArwIn_G10_1a,1,2,0
3,10,dArwIn_G10_1b,2,1,0
4,10,dArwIn_G10_2a,2,1,0
5,10,dArwIn_G10_2b,1,2,0
6,10,dArwIn_G10_3a,1,2,0
7,10,dArwIn_G10_3b,1,2,0
0,11,dArwIn_G11_0a,1,2,0
1,11,dArwIn_G11_0b,2,1,0
2,11,dArwIn_G11_1a,1,2,0
3,11,dArwIn_G11_1b,2,1,0
4,11,dArwIn_G11_2a,2,1,0
5,11,dArwIn_G11_2b,2,1,0
6,11,dArwIn_G11_3a,2,1,0
7,11,dArwIn_G11_3b,2,1,0
0,12,dArwIn_G12_0a,3,0,0
1,12,dArwIn_G12_0b,2,1,0
2,12,dArwIn_G12_1a,2,1,0
3,12,dArwIn_G12_1b,1,2,0
4,12,dArwIn_G12_2a,3,0,0
5,12,dArwIn_G12_2b,2,1,0
6,12,dArwIn_G12_3a,1,2,0
7,12,dArwIn_G12_3b,2,1,0
0,13,dArwIn_G13_0a,2,1,0
1,13,dArwIn_G13_0b,1,2,0
2,13,dArwIn_G13_1a,2,1,0
3,13,dArwIn_G13_1b,2,1,0
4,13,dArwIn_G13_2a,2,1,0
5,13,dArwIn_G13_2b,1,2,0
6,13,dArwIn_G13_3a,2,1,0
7,13,dArwIn_G13_3b,2,1,0
0,14,dArwIn_G14_0a,2,1,0
1,14,dArwIn_G14_0b,1,2,0
2,14,dArwIn_G14_1a,1,2,0
3,14,dArwIn_G14_1b,2,1,0
4,14,dArwIn_G14_2a,2,1,0
5,14,dArwIn_G14_2b,2,1,0
6,14,dArwIn_G14_3a,2,1,0
7,14,dArwIn_G14_3b,2,1,0
0,15,dArwIn_G15_0a,2,1,0
1,15,dArwIn_G15_0b,2,1,0
2,15,dArwIn_G15_1a,2,1,0
3,15,dArwIn_G15_1b,1,2,0
4,15,dArwIn_G15_2a,2,1,0
5,15,dArwIn_G15_2b,2,1,0
6,15,dArwIn_G15_3a,1,2,0
7,15,dArwIn_G15_3b,2,1,0
0,16,dArwIn_G16_0a,1,2,0
1,16,dArwIn_G16_0b,2,1,0
2,16,dArwIn_G16_1a,2,1,0
3,16,dArwIn_G16_1b,1,2,0
4,16,dArwIn_G16_2a,1,2,0
5,16,dArwIn_G16_2b,3,0,0
6,16,dArwIn_G16_3a,2,1,0
7,16,dArwIn_G16_3b,1,2,0
0,17,dArwIn_G17_0a,1,2,0
1,17,dArwIn_G17_0b,2,1,0
2,17,dArwIn_G17_1a,1,2,0
3,17,dArwIn_G17_1b,2,1,0
4,17,dArwIn_G17_2a,1,2,0
5,17,dArwIn_G17_2b,1,2,0
6,17,dArwIn_G17_3a,2,1,0
7,17,dArwIn_G17_3b,2,1,0
0,18,dArwIn_G18_0a,1,2,0
1,18,dArwIn_G18_0b,1,2,0
2,18,dArwIn_G18_1a,2,1,0
3,18,dArwIn_G18_1b,2,1,0
4,18,dArwIn_G18_2a,2,1,0
5,18,dArwIn_G18_2b,1,2,0
6,18,dArwIn_G18_3a,2,1,0
7,18,dArwIn_G18_3b,1,2,0
0,19,dArwIn_G19_0a,2,1,0
1,19,dArwIn_G19_0b,2,1,0
2,19,dArwIn_G19_1a,1,2,0
3,19,dArwIn_G19_1b,2,1,0
4,19,dArwIn_G19_2a,2,1,0
5,19,dArwIn_G19_2b,2,1,0
6,19,dArwIn_G19_3a,2,1,0
7,19,dArwIn_G19_3b,1,2,0
0,20,dArwIn_G20_0a,2,1,0
1,20,dArwIn_G20_0b,2,1,0
2,20,dArwIn_G20_1a,1,2,0
3,20,dArwIn_G20_1b,1,2,0
4,20,dArwIn_G20_2a,2,1,0
5,20,dArwIn_G20_2b,2,1,0
6,20,dArwIn_G20_3a,1,2,0
7,20,dArwIn_G20_3b,2,1,0
0,21,dArwIn_G21_0a,2,1,0
1,21,dArwIn_G21_0b,2,1,0
2,21,dArwIn_G21_1a,2,1,0
3,21,dArwIn_G21_1b,2,1,0
4,21,dArwIn_G21_2a,2,1,0
5,21,dArwIn_G21_2b,2,1,0
6,21,dArwIn_G21_3a,2,1,0
7,21,dArwIn_G21_3b,1,2,0
0,22,dArwIn_G22_0a,1,2,0
1,22,dArwIn_G22_0b,1,2,0
2,22,dArwIn_G22_1a,1,2,0
3,22,dArwIn_G22_1b,2,1,0
