,Name,ELO,Move_Seq,Wins,Losses,Total_Matches
0,dArwIn_G0_0,980.2422814860937,"[27, 21, 4, 3, 16, 8, 2, 12, 35, 25, 5, 28, 22, 15, 33, 34, 36, 6, 31, 23, 9, 32, 18, 14, 26, 30, 24, 13, 7, 20, 19, 17, 29, 1, 11, 10]",1,2,3
1,dArwIn_G0_1,1069.328950239343,"[8, 6, 3, 34, 16, 4, 27, 10, 32, 36, 17, 22, 21, 18, 20, 19, 14, 12, 9, 2, 11, 35, 5, 25, 23, 15, 26, 13, 1, 31, 33, 7, 24, 29, 30, 28]",3,0,3
2,dArwIn_G0_2,970.0258279194779,"[2, 20, 16, 23, 34, 22, 19, 31, 30, 36, 32, 15, 18, 26, 24, 35, 10, 28, 12, 29, 21, 4, 7, 1, 5, 9, 33, 14, 8, 6, 25, 11, 17, 3, 13, 27]",1,2,3
3,dArwIn_G0_3,980.4029403550854,"[19, 2, 33, 34, 14, 12, 13, 30, 11, 16, 3, 29, 32, 1, 24, 22, 31, 8, 5, 28, 10, 27, 18, 25, 7, 36, 20, 17, 4, 6, 15, 9, 26, 23, 21, 35]",1,2,3
0,dArwIn_G0_1,1078.9677652441899,"[8, 6, 3, 34, 16, 4, 27, 10, 32, 36, 17, 22, 21, 18, 20, 19, 14, 12, 9, 2, 11, 35, 5, 25, 23, 15, 26, 13, 1, 31, 33, 7, 24, 29, 30, 28]",5,1,6
1,dArwIn_G1_0a,985.0701561131948,"[27, 21, 4, 3, 16, 8, 2, 12, 35, 25, 5, 28, 22, 15, 33, 34, 36, 6, 31, 23, 9, 32, 18, 14, 26, 30, 24, 13, 7, 20, 19, 17, 29, 1, 11, 10]",1,2,3
2,dArwIn_G1_0b,1070.6245892366064,"[8, 6, 3, 34, 16, 4, 27, 10, 32, 36, 17, 22, 21, 18, 20, 19, 14, 12, 9, 2, 11, 35, 5, 25, 23, 15, 26, 13, 1, 31, 33, 7, 24, 29, 30, 28]",3,0,3
3,dArwIn_G1_0,934.6664396453522,"[21, 4, 26, 17, 36, 6, 3, 31, 33, 1, 27, 19, 22, 32, 8, 7, 28, 20, 18, 10, 9, 34, 30, 29, 12, 25, 14, 13, 5, 23, 35, 11, 16, 15, 2, 24]",0,3,3
0,dArwIn_G0_1,1133.404395387157,"[8, 6, 3, 34, 16, 4, 27, 10, 32, 36, 17, 22, 21, 18, 20, 19, 14, 12, 9, 2, 11, 35, 5, 25, 23, 15, 26, 13, 1, 31, 33, 7, 24, 29, 30, 28]",8,1,9
1,dArwIn_G2_0a,1029.0566849904142,"[8, 6, 3, 34, 16, 4, 27, 10, 32, 36, 17, 22, 21, 18, 20, 19, 14, 12, 9, 2, 11, 35, 5, 25, 23, 15, 26, 13, 1, 31, 33, 7, 24, 29, 30, 28]",2,1,3
2,dArwIn_G2_0b,982.0104853792106,"[27, 21, 4, 3, 16, 8, 2, 12, 35, 25, 5, 28, 22, 15, 33, 34, 36, 6, 31, 23, 9, 32, 18, 14, 26, 30, 24, 13, 7, 20, 19, 17, 29, 1, 11, 10]",1,2,3
3,dArwIn_G2_0,934.496199487408,"[24, 6, 4, 21, 25, 10, 34, 5, 18, 15, 3, 12, 22, 35, 14, 29, 33, 1, 7, 30, 19, 27, 28, 20, 8, 9, 31, 26, 11, 23, 32, 13, 17, 36, 16, 2]",0,3,3
